Student_ID,CGPA,Attendance,Backlogs,Year,Python,Java,DSA,SQL,OOP,DBMS,OS,CN,Git,Linux,Docker,Cloud,Projects,Internship,Certifications,Hackathons,OpenSource,LeetCode,Communication,Teamwork,Leadership,EmployabilityStatus
1,6.4,66,1,3,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1,1,0,52,1,0,1,2
2,6.35,83,3,4,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,29,0,0,1,2
3,6.8,81,2,4,2,2,2,2,1,1,2,1,1,1,1,0,6,1,3,5,0,508,2,1,2,1
4,9.17,90,0,3,0,1,0,1,2,1,2,2,0,0,0,0,0,0,0,1,0,15,1,1,0,2
5,8.09,83,1,4,1,2,1,0,2,2,0,0,1,1,0,0,4,0,4,0,1,219,2,1,0,0
6,7.73,75,1,3,2,2,2,2,2,1,0,2,1,1,1,0,5,0,4,2,1,544,1,2,1,0
7,8.83,92,0,3,1,1,0,1,1,2,2,2,0,0,0,0,0,0,2,1,0,14,0,1,0,2
8,7.13,88,0,2,1,1,2,1,2,2,2,2,1,1,0,0,3,1,1,0,0,379,1,2,0,0
9,9.37,96,0,4,1,1,1,1,2,1,1,2,0,0,0,0,1,0,1,0,0,77,0,2,1,0
10,7.32,88,1,3,2,2,2,2,2,1,2,2,1,1,1,0,5,0,4,2,1,520,2,1,0,0
11,7.15,87,2,4,1,1,1,0,1,1,2,1,1,1,0,0,4,1,1,1,1,187,1,2,1,2
12,8.41,98,1,4,2,1,2,1,2,1,2,2,1,1,1,1,6,1,3,2,1,454,2,1,0,0
13,9.55,96,0,3,2,2,2,2,2,2,2,2,1,1,1,1,8,1,7,3,0,464,2,2,1,1
14,8.91,97,0,4,1,1,2,2,1,2,2,2,1,1,1,1,4,0,3,2,1,349,2,2,2,1
15,8.43,98,0,4,1,2,2,1,1,2,1,2,1,1,1,1,4,1,3,3,0,377,2,1,0,1
16,8.1,90,1,3,1,1,1,1,1,1,1,1,1,1,1,1,5,1,2,4,0,561,1,2,1,0
17,7.34,94,0,3,2,1,1,2,1,1,0,2,1,1,0,0,3,1,1,0,1,183,1,1,0,0
18,9.11,84,1,3,2,1,2,1,2,2,2,2,1,1,1,1,7,1,3,4,0,548,1,2,1,0
19,6.82,90,1,3,2,1,2,1,2,1,2,2,1,1,1,0,8,1,3,4,0,394,1,1,2,0
20,5.83,64,2,3,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,14,0,0,0,2
21,8.82,98,0,4,1,1,1,1,1,2,2,2,1,1,0,0,3,1,1,0,0,15,1,1,1,0
22,8.03,82,1,2,1,1,2,2,1,1,1,2,1,1,1,1,6,1,4,4,1,386,2,2,1,1
23,9.24,90,0,4,1,0,1,1,1,1,1,2,0,0,0,0,2,0,2,0,0,8,0,1,1,0
24,8.17,69,2,3,2,2,2,2,2,1,0,2,1,1,1,0,7,1,3,5,0,511,1,1,1,1
25,9.49,98,0,3,1,1,1,0,2,1,2,1,0,0,0,0,0,0,0,0,0,60,1,1,1,2
26,9.8,85,0,3,2,1,2,1,2,2,1,1,1,1,1,1,7,1,3,2,1,508,2,2,2,1
27,5.8,67,5,4,1,1,1,1,0,0,1,1,0,0,0,0,2,0,0,1,0,4,1,1,1,2
28,7.2,71,1,3,2,2,2,1,1,1,1,2,1,1,1,0,7,1,4,4,1,501,1,1,2,1
29,9.07,85,0,4,2,2,2,2,2,2,2,1,1,1,1,1,5,1,3,2,1,263,1,1,0,0
30,7.65,93,2,4,1,1,2,2,1,2,0,0,1,1,0,0,5,1,2,2,1,349,1,1,1,0
31,9.58,100,0,3,0,0,1,0,2,2,1,2,0,0,0,0,1,0,1,0,0,7,0,2,1,2
32,8.28,73,1,3,2,1,1,2,1,2,1,2,1,1,0,0,3,1,2,3,1,288,2,2,0,0
33,6.8,78,1,2,2,2,2,2,1,1,2,2,1,1,1,0,6,0,2,3,1,505,1,1,1,1
34,7.1,70,0,3,1,1,1,1,2,1,1,2,1,1,0,0,4,1,2,3,0,400,1,2,1,0
35,8.75,99,0,3,0,0,0,0,2,1,1,2,0,0,0,0,2,0,1,1,0,69,0,2,1,2
36,9.67,97,0,4,1,1,1,1,1,2,2,1,0,0,0,0,1,0,1,0,0,79,1,1,1,2
37,8.97,92,0,3,2,1,1,2,2,1,1,2,1,1,1,1,7,1,3,1,1,576,2,1,0,0
38,6.46,83,2,4,0,1,0,1,0,0,1,1,0,0,0,0,2,0,1,0,0,15,0,0,1,2
39,5.65,62,4,4,0,1,0,1,0,0,1,0,1,0,0,0,2,1,0,0,0,67,1,0,1,2
40,9.68,93,0,4,1,1,1,0,1,2,1,2,0,0,0,0,0,0,0,1,0,92,2,1,0,0
41,7.31,85,0,2,1,2,2,0,1,2,0,2,1,1,0,0,2,1,3,2,0,150,2,2,1,0
42,8.21,84,0,4,2,0,1,2,2,2,1,0,1,1,0,0,5,0,3,0,0,223,0,2,1,0
43,8.88,96,0,2,2,2,2,1,2,2,2,1,1,1,1,1,7,1,3,3,0,497,1,1,2,1
44,8.16,95,2,2,1,2,1,2,2,1,0,1,1,1,0,0,4,0,1,2,0,420,1,1,1,1
45,5.75,70,1,4,1,0,0,1,0,1,1,0,0,0,0,0,2,0,1,1,0,22,1,1,0,2
46,6.01,80,2,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22,0,1,1,2
47,8.99,89,0,4,2,2,2,2,2,2,1,1,1,1,1,1,7,1,6,3,1,799,2,1,1,1
48,5.7,63,4,4,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,43,1,1,0,2
49,7.41,87,0,4,2,1,2,2,2,2,1,1,1,1,1,0,4,0,3,5,0,691,1,1,0,0
50,5.83,67,4,3,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,38,0,1,1,2
51,8.47,90,1,2,1,2,2,1,2,2,2,1,1,1,1,1,7,1,2,3,1,529,1,1,0,0
52,9.41,91,0,2,1,0,1,1,2,1,1,1,0,0,0,0,1,0,0,1,0,69,2,1,0,2
53,7.22,67,1,4,2,1,2,2,1,2,0,1,1,1,1,0,5,1,3,3,1,576,2,1,2,1
54,7.37,70,2,4,2,2,1,2,1,2,2,0,1,1,0,0,3,1,3,1,1,116,1,2,0,0
55,5.55,74,1,3,1,1,0,0,1,1,1,1,1,1,0,0,2,1,1,1,0,79,1,1,0,2
56,7.52,71,1,4,2,0,2,1,2,2,0,2,1,1,0,0,4,0,2,2,0,226,2,1,1,1
57,8.05,70,1,4,1,1,2,0,2,2,2,1,1,1,0,0,5,1,2,3,0,149,1,1,1,0
58,8.98,92,0,3,0,0,0,1,2,1,1,1,0,0,0,0,2,0,0,0,0,80,1,2,0,0
59,6.67,65,1,4,2,1,2,2,1,2,1,1,1,1,1,0,8,1,4,5,0,419,2,1,2,1
60,7.6,66,0,4,2,2,2,2,1,2,0,0,1,1,1,0,7,0,3,5,1,630,1,1,1,0
61,5.58,84,2,3,1,0,0,0,0,1,1,0,0,0,0,0,2,0,1,1,0,60,0,0,0,2
62,7.13,75,2,4,1,2,1,0,1,1,1,2,1,1,0,0,4,1,1,0,1,336,2,2,1,0
63,8.87,97,0,3,2,2,2,2,1,2,2,1,1,1,1,1,7,1,3,1,1,633,2,1,1,1
64,8.14,70,0,4,2,2,2,1,2,2,1,2,1,1,1,0,8,0,2,3,1,436,1,2,2,1
65,8.22,95,1,4,2,1,2,1,1,1,0,2,1,1,0,0,5,0,3,1,0,135,2,2,1,0
66,5.96,85,2,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,79,1,0,0,2
